# IR (EU) 2025/2621 — DVs as adopted v2026-02-04 (India sheet)
# source: DVs as adopted_v20260204 .xlsx
id,section,cn_display,cn_norm,description,direct,indirect,total,marked_2026,marked_2027,marked_2028,markup_2026_pct,route_marker
7213-96,Iron & Steel,7213,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils",4.27,,4.27,4.697,5.124,5.551,10,(C)
72141000-97,Iron & Steel,7214 10 00,72141000,"Bars and rods, of iron or non-alloy steel, not further worked than forged (excl. in irregularly wound coils)",4.32,,4.32,4.752,5.184,5.616,10,(C)
72142000-98,Iron & Steel,7214 20 00,72142000,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations produced during the rolling process",4.27,,4.27,4.697,5.124,5.551,10,(C)
72143000-99,Iron & Steel,7214 30 00,72143000,"Bars and rods, of non-alloy free-cutting steel, not further worked than hot-rolled, hot-drawn or hot-extruded (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling)",4.27,,4.27,4.697,5.124,5.551,10,(C)
721491-100,Iron & Steel,7214 91,721491,"Bars and rods, of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, of rectangular ""other than square"" cross-section (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process, bars and rods twisted after rolling and free-cutting steel)",4.27,,4.27,4.697,5.124,5.551,10,(C)
721499-101,Iron & Steel,7214 99,721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded (excl. of rectangular [other than square] cross-section and those containing indentations, ribs, grooves or other deformations produced during the rolling process, and of non-alloy free-cutting steel)",4.27,,4.27,4.697,5.124,5.551,10,(C)
7215-102,Iron & Steel,7215,7215,"Bars and rods, of iron or non-alloy steel, cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked, n.e.s.",4.27,,4.27,4.697,5.124,5.551,10,(C)
7216-103,Iron & Steel,7216,7216,"Angles, shapes and sections of iron or non-alloy steel, n.e.s.",4.27,,4.27,4.697,5.124,5.551,10,(C)
721710-104,Iron & Steel,7217 10,721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excl. bars and rods)",4.27,,4.27,4.697,5.124,5.551,10,(C)
721720-105,Iron & Steel,7217 20,721720,"Wire of iron or non-alloy steel, in coils, plated or coated with zinc (excl. bars and rods)",4.27,,4.27,4.697,5.124,5.551,10,(C)
721730-106,Iron & Steel,7217 30,721730,"Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excl. plated or coated with zinc, and bars and rods)",4.27,,4.27,4.697,5.124,5.551,10,(C)
721790-107,Iron & Steel,7217 90,721790,"Wire of iron or non-alloy steel, in coils, plated or coated (excl. plated or coated with base metals, and bars and rods)",4.27,,4.27,4.697,5.124,5.551,10,(C)
72181000-108,Iron & Steel,7218 10 00,72181000,"Steel, stainless, in ingots and other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting)",6.53,,6.53,7.183,7.836,8.489,10,
721891-109,Iron & Steel,7218 91,721891,"Semi-finished products of stainless steel, of rectangular ""other than square"" cross-section",6.49,,6.49,7.139,7.788,8.437,10,
72189911-110,Iron & Steel,7218 99 11,72189911,"Semi-finished products of stainless steel, of square cross-section, rolled or obtained by continuous casting",6.49,,6.49,7.139,7.788,8.437,10,
72189919-111,Iron & Steel,7218 99 19,72189919,"Semi-finished products of stainless steel, of square cross-section, forged",6.53,,6.53,7.183,7.836,8.489,10,
72189920-112,Iron & Steel,7218 99 20,72189920,"Semi-finished products of stainless steel, of circular cross-section or of cross-section other than square or rectangular, rolled or obtained by continuous casting",6.49,,6.49,7.139,7.788,8.437,10,
72189980-113,Iron & Steel,7218 99 80,72189980,"Semi-finished products of stainless steel, forged (excl. products of square or rectangular cross-section)",6.53,,6.53,7.183,7.836,8.489,10,
72191100-114,Iron & Steel,7219 11 00,72191100,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of > 10 mm",6.49,,6.49,7.139,7.788,8.437,10,
721912-115,Iron & Steel,7219 12,721912,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm",6.49,,6.49,7.139,7.788,8.437,10,
721913-116,Iron & Steel,7219 13,721913,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 3 mm and < 4,75 mm",6.49,,6.49,7.139,7.788,8.437,10,
721914-117,Iron & Steel,7219 14,721914,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of < 3 mm",6.49,,6.49,7.139,7.788,8.437,10,
721921-118,Iron & Steel,7219 21,721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of > 10 mm",6.49,,6.49,7.139,7.788,8.437,10,
721922-119,Iron & Steel,7219 22,721922,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 4,75 mm and <= 10 mm",6.49,,6.49,7.139,7.788,8.437,10,
72192300-120,Iron & Steel,7219 23 00,72192300,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 3 mm and < 4,75 mm",6.49,,6.49,7.139,7.788,8.437,10,
72192400-121,Iron & Steel,7219 24 00,72192400,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of < 3 mm",6.49,,6.49,7.139,7.788,8.437,10,
72193100-122,Iron & Steel,7219 31 00,72193100,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 4,75 mm",6.5,,6.5,7.15,7.8,8.45,10,
721932-123,Iron & Steel,7219 32,721932,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 3 mm but < 4,75 mm",6.5,,6.5,7.15,7.8,8.45,10,
721933-124,Iron & Steel,7219 33,721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of > 1 mm but < 3 mm",6.5,,6.5,7.15,7.8,8.45,10,
721934-125,Iron & Steel,7219 34,721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 0,5 mm but <= 1 mm",6.5,,6.5,7.15,7.8,8.45,10,
721935-126,Iron & Steel,7219 35,721935,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of < 0,5 mm",6.5,,6.5,7.15,7.8,8.45,10,
721990-127,Iron & Steel,7219 90,721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked",6.5,,6.5,7.15,7.8,8.45,10,
72201100-128,Iron & Steel,7220 11 00,72201100,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of >= 4,75 mm",6.49,,6.49,7.139,7.788,8.437,10,
72201200-129,Iron & Steel,7220 12 00,72201200,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of < 4,75 mm",6.49,,6.49,7.139,7.788,8.437,10,
722020-130,Iron & Steel,7220 20,722020,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced""",6.5,,6.5,7.15,7.8,8.45,10,
722090-131,Iron & Steel,7220 90,722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked",6.5,,6.5,7.15,7.8,8.45,10,
